City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lima,PE,-12.0432,-77.0282,58.89,86,75,8.05,broken clouds
1,Victoria,HK,22.2855,114.1577,94.96,64,5,5.99,clear sky
2,Hithadhoo,MV,-0.6,73.0833,81.68,72,68,4.9,broken clouds
3,Albany,US,42.6001,-73.9662,55.4,83,79,3.67,broken clouds
4,Yellowknife,CA,62.456,-114.3525,48.72,93,40,8.05,scattered clouds
5,Bluff,NZ,-46.6,168.3333,46.8,62,52,4.72,broken clouds
6,Saldanha,ZA,-33.0117,17.9442,48.25,88,92,9.19,overcast clouds
7,Locri,IT,38.2414,16.2623,82.31,76,68,10.36,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,72.55,73,0,17.34,clear sky
9,La Primavera,CO,5.4906,-70.4092,71.42,96,100,4.23,overcast clouds
10,Hays,US,30.0502,-98.0336,80.74,79,45,5.01,scattered clouds
11,Jiayuguan,CN,39.8167,98.3,72.54,25,0,9.93,clear sky
12,Dzaoudzi,YT,-12.7887,45.2699,78.69,73,20,4.61,few clouds
13,Matay,EG,28.419,30.7792,73.45,77,0,7.92,clear sky
14,Porto Novo,BJ,6.4965,2.6036,76.82,92,91,4.79,overcast clouds
15,Uyovu,TZ,-3.2833,31.5258,72.07,45,82,5.93,broken clouds
16,Barrow,US,71.2906,-156.7887,33.82,86,100,27.63,mist
17,Buchanan,LR,5.8808,-10.0467,75.63,89,100,8.37,moderate rain
18,Qaqortoq,GL,60.7167,-46.0333,49.57,78,100,9.22,moderate rain
19,Punta Arenas,CL,-53.15,-70.9167,39.31,81,75,18.41,light rain
20,Souillac,MU,-20.5167,57.5167,71.98,78,75,12.66,light rain
21,Orgita,EE,58.9218,24.45,48.58,96,59,4.99,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,51.8,80,89,3.31,overcast clouds
23,Jamestown,US,42.097,-79.2353,62.24,77,0,3.44,mist
24,San Quintin,MX,30.4833,-115.95,67.6,82,2,10.02,clear sky
25,Srednekolymsk,RU,67.45,153.6833,38.7,63,98,8.59,overcast clouds
26,Nikolskoye,RU,59.7035,30.7861,48.09,87,91,6.78,overcast clouds
27,Castro,BR,-24.7911,-50.0119,48.83,89,87,8.57,overcast clouds
28,Hobart,AU,-42.8794,147.3294,60.26,68,75,17.27,broken clouds
29,Cape Town,ZA,-33.9258,18.4232,57.11,83,75,3.44,broken clouds
30,Port Alfred,ZA,-33.5906,26.891,59.18,88,99,1.01,overcast clouds
31,Longyearbyen,SJ,78.2186,15.6401,26.04,91,71,4.72,broken clouds
32,Butaritari,KI,3.0707,172.7902,82.31,69,20,13.42,few clouds
33,East London,ZA,-33.0153,27.9116,63.07,74,100,11.52,overcast clouds
34,Busselton,AU,-33.65,115.3333,61.0,71,100,13.09,overcast clouds
35,Carnarvon,AU,-24.8667,113.6333,73.78,45,1,12.86,clear sky
36,Ust-Tsilma,RU,65.441,52.1498,51.12,76,97,7.07,overcast clouds
37,Ust-Omchug,RU,61.15,149.6333,42.04,54,78,8.75,broken clouds
38,Vaini,TO,-21.2,-175.2,78.96,83,75,3.44,broken clouds
39,Yeppoon,AU,-23.1333,150.7333,73.18,55,64,5.79,light rain
40,Cap-Chat,CA,49.1001,-66.6821,50.0,76,65,16.11,broken clouds
41,Kungurtug,RU,50.5994,97.5228,45.75,72,100,0.76,overcast clouds
42,Lorengau,PG,-2.0226,147.2712,85.41,63,63,10.07,broken clouds
43,Akdepe,TM,42.0551,59.3788,66.29,38,4,8.63,clear sky
44,Andros,GR,37.8333,24.9333,73.96,88,18,12.15,few clouds
45,Port Elizabeth,ZA,-33.918,25.5701,60.31,84,0,11.01,clear sky
46,Khuzhir,RU,53.1939,107.3397,53.24,45,13,7.9,few clouds
47,Airai,TL,-8.9266,125.4092,82.27,23,50,4.09,scattered clouds
48,Alta Gracia,AR,-31.6529,-64.4283,61.56,32,100,7.18,overcast clouds
49,Georgetown,MY,5.4112,100.3354,87.75,67,20,7.0,few clouds
50,Cam Ranh,VN,11.9214,109.1591,89.56,62,40,8.05,scattered clouds
51,Sfantu Gheorghe,RO,45.8667,25.7833,64.27,88,57,1.25,broken clouds
52,Atuona,PF,-9.8,-139.0333,76.78,73,7,19.33,clear sky
53,Chokurdakh,RU,70.6333,147.9167,38.7,62,94,2.71,overcast clouds
54,Kapaa,US,22.0752,-159.319,82.38,79,100,10.36,overcast clouds
55,Vihari,PK,30.0333,72.35,93.49,41,0,13.0,clear sky
56,Kupang,ID,-10.1667,123.5833,88.02,51,39,3.96,scattered clouds
57,Puerto Ayora,EC,-0.7393,-90.3518,65.55,94,9,1.01,clear sky
58,Kavieng,PG,-2.5744,150.7967,85.23,62,28,11.52,scattered clouds
59,Sorland,NO,67.667,12.6934,53.46,78,100,7.99,overcast clouds
60,Le Pradet,FR,43.1066,6.0172,65.89,51,0,16.11,clear sky
61,New Norfolk,AU,-42.7826,147.0587,59.92,78,100,3.0,light rain
62,Ushuaia,AR,-54.8,-68.3,40.66,75,75,14.97,broken clouds
63,Manzhouli,CN,49.6,117.4333,47.39,73,56,23.71,broken clouds
64,Egvekinot,RU,66.3167,-179.1667,38.91,87,100,21.03,light rain
65,Chapais,CA,49.7834,-74.8492,37.18,80,4,2.53,clear sky
66,Bilma,NE,18.6853,12.9164,87.49,38,86,8.08,overcast clouds
67,Margate,GB,51.3813,1.3862,51.69,76,65,8.99,broken clouds
68,Mataura,NZ,-46.1927,168.8643,46.47,59,59,1.99,broken clouds
69,Bam,IR,29.106,58.357,92.26,8,19,7.11,few clouds
70,Mogadouro,PT,41.3403,-6.7119,59.25,68,57,7.38,broken clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,87,75,3.44,broken clouds
72,Sisimiut,GL,66.9395,-53.6735,44.6,78,98,8.41,overcast clouds
73,Sur,OM,22.5667,59.5289,91.22,50,54,4.25,broken clouds
74,Kitob,UZ,39.0843,66.8332,81.63,12,35,4.14,scattered clouds
75,Gwadar,PK,25.1216,62.3254,82.11,75,62,5.12,broken clouds
